Lp.,Name,Id,VAI™,VAI™ Reach,VAI™ Speed,VAI™ Hold,Avg. TTFF,Avg. Relative TTFF,Avg. TTFG,Fixations Avg. Time Spent,Gazes Avg. Time Spent,Fixations,Gazes,Fixations ratio,Fixations relative ratio,Gazes ratio,Avg. Fixation Duration,Avg. FFD,K-coefficient,Avg. Revisits,Clicks,Avg. TTFC,Avg. Relative TTFC,AOI Time Range
1,content_loko_cards,477daf0d-a2a0-47f4-a6b1-747569acf22e,57.80%,87.00%,66.20%,20.40%,1.58s,1.08s,1.35s,1.06s,1.18s,71,1161,20 / 23 (87%),20 / 23 (87%),22 / 23 (96%),0.28s,0.29s,0.27,0.83,0,N/A,N/A,0.5s ‒ 5s
2,content_tsinotyzhyky_cards,f44b2b54-baea-4bd3-8faf-546d52bb90da,45.50%,73.90%,54.20%,8.30%,1.7s,1.2s,1.44s,0.51s,0.54s,33,537,17 / 23 (74%),17 / 23 (74%),22 / 23 (96%),0.26s,0.27s,0.09,0.32,0,N/A,N/A,0.5s ‒ 5s
3,cta_order_loko,ed70d4c4-684f-4cd9-8279-b9c41e9f9181,30.60%,56.50%,29.40%,5.80%,2.66s,2.16s,2.26s,0.46s,0.36s,21,336,13 / 23 (57%),13 / 23 (57%),20 / 23 (87%),0.27s,0.26s,0.45,0.22,0,N/A,N/A,0.5s ‒ 5s
4,meta_events_header,fd6e8282-4737-45c7-af68-8fcb26673a1a,24.90%,47.80%,19.90%,7.10%,3.13s,2.63s,2.98s,0.66s,0.55s,21,348,11 / 23 (48%),11 / 23 (48%),14 / 23 (61%),0.35s,0.36s,1.15,0.26,0,N/A,N/A,0.5s ‒ 5s
5,meta_loko_header,9c72fb19-2467-4df5-9bcd-5fab757609a5,41.00%,69.60%,45.30%,8.00%,2.07s,1.57s,1.5s,0.52s,0.46s,26,440,16 / 23 (70%),16 / 23 (70%),22 / 23 (96%),0.32s,0.3s,0.46,0.24,0,N/A,N/A,0.5s ‒ 5s
6,nav_tabpills,1e066912-d0ec-4fd3-9277-592909ab40f3,29.70%,52.20%,32.30%,4.50%,2.21s,1.71s,2.27s,0.39s,0.26s,17,210,12 / 23 (52%),12 / 23 (52%),18 / 23 (78%),0.3s,0.31s,-0.54,0.09,0,N/A,N/A,0.5s ‒ 5s
7,nav_topbar,e6ce020f-8e1d-4918-bd63-6b379bd7c04d,29.20%,52.20%,30.30%,5.10%,2.38s,1.88s,2.19s,0.44s,0.39s,19,276,12 / 23 (52%),12 / 23 (52%),16 / 23 (70%),0.27s,0.28s,-0.24,0.09,0,N/A,N/A,0.5s ‒ 5s
